topology,iteration,alg,lambda,primal_error,dual_residual,real_primal_residual,real_dual_residual,objective,total_communication,root_communication,maxnodeiters,max_communication,optimal_value
1,28,hADMM,0.0001,2.3964224274031967,0.0010938049304949349,0.0010938049304949349,0.03559719826581231,24166.809060855565,784.0,56.0,69,828,23844.497857298862
1,29,hADMM,0.0001,2.27668613855789,0.0010471685996191749,0.0010471685996191749,0.034247021391236254,24137.167146104144,812.0,58.0,69,828,23844.497857298862
1,30,hADMM,0.0001,2.161548962271878,0.0010025942464981785,0.0010025942464981785,0.032944707094024084,24109.5038715416,840.0,60.0,69,828,23844.497857298862
1,31,hADMM,0.0001,2.050923034504561,0.0009600047489581875,0.0009600047489581875,0.031689450406576336,24083.69230260811,868.0,62.0,69,828,23844.497857298862
1,32,hADMM,0.0001,1.9447261688726047,0.0009193092121777546,0.0009193092121777546,0.030669577740065623,24059.611945362594,896.0,64.0,69,828,23844.497857298862
1,33,hADMM,0.0001,1.8428819115335924,0.0008804127939587847,0.0008804127939587847,0.02974275691915662,24037.150086785157,924.0,66.0,69,828,23844.497857298862
1,34,hADMM,0.0001,1.745319253659965,0.0008432259073740678,0.0008432259073740678,0.028839738709453444,24016.201388466405,952.0,68.0,69,828,23844.497857298862
1,35,hADMM,0.0001,1.6519721452364269,0.0008076655775028918,0.0008076655775028918,0.027960153318758785,23996.667180422657,980.0,70.0,69,828,23844.497857298862
1,36,hADMM,0.0001,1.5627788270433018,0.0007736541491842885,0.0007736541491842885,0.027103609505504833,23978.454952505046,1008.0,72.0,69,828,23844.497857298862
1,37,hADMM,0.0001,1.4776809284870156,0.000741118343100311,0.000741118343100311,0.026269714500118946,23961.47798506716,1036.0,74.0,69,828,23844.497857298862
1,38,hADMM,0.0001,1.3999278550747347,0.00538477879214927,0.00538477879214927,0.02545807612543105,23952.056266641128,1064.0,76.0,69,828,23844.497857298862
1,39,hADMM,0.0001,1.3388455823435161,0.020848736628775733,0.020848736628775733,0.02313976510751603,23962.48271112785,1092.0,78.0,69,828,23844.497857298862
